star_rating	review_body
5.0	The handles are important, now my kid doesn't grab the sides of the bowl which means little hands stay cleaner.<br />The pee guard does a great job.<br />My thirty pound kid fits in it well.<br />It's a simple product done right.
5.0	This cart cover is the best! I previously had bought another sort and was very difficult to use and didn't cover the sides of the cart.<br />Love the color and super washable fabric. It is sewn together very well and Covers all sides of the cart.  It is large enough to fit large sizes cart as well. Nice safety harness both around the cart and on the inside for baby. It also has little pockets to hold toys,snacks, etc. for you or baby. Very pleased with this purchase. Only wished it had come with a carrying bag, but I use a cloth shopping bag for it.
5.0	I absolutely love this seat. I bought 2 for my 3 1/2 year old twins and I couldn't be happier with the quality. I also love that you can harness up to 65 lbs in this seat- that was a major selling point for me. Easy to install. Only downside is this seat is a little heavy and bulky but in my case the seats are very rarely removed fro the car so that isn't an issue for us. However it might be something to think about for someone who will need to transfer a seat from car to car.
5.0	"We just purchased this dresser along with the matching Park West crib and we could not be more pleased!  The dresser features two top drawers that swing out so you can stay close to baby while changing.  The drawers are spacious, of solid construction, and do not feel flimsy on the track like some options we looked at.  The walnut finish is gorgeous and I love the black trim on the bottom.  This piece is a great price for the quality and overall look.  The dresser is the perfect length, approx 40\\"", for a changing pad and safety railing (included). And the dresser was shipped fully assembled so all we had to do was put it in the nursery.  I highly recommend the Park West nursery set!"
5.0	Brought a smile to my sister's face which was the whole purpose of the purchase.
5.0	I love this I can't wait until my daughter is old enough to play with this !! It's is not too big not too small just right size
5.0	Best car seat on the market! Steel frame and narrow enough to put 2 side by side.
5.0	Bought for our 2 year who destroys the back of our seats. Easy to install and have worked wonders!
5.0	Wow! I don't know why they're not shouting from the mountain tops that this product is made in the USA. It's found in very small print in the description. I can't remember the last time i saw an everyday baby product such as this made here, unfortunately. Anyway was very pleasantly surprised to see the 'made in usa' seal when i received and knowing how good this product is in general, as are all the other gerber/NUK sippys which have been the best sippys we've found, knew i would be buying only from this company in the future..all the other sippy cups we've tried from other companies haven't been as good. Great price! is actually leak proof! and well made, this a def good buy.
5.0	"Great purchase; captivates attention and is a great way to spend \\""tummy time\\"" - the kids are enthralled by the noise and lights! Love!"
5.0	Love the Baby Dee Dee! It successfully helped our then four month old transition from being swaddled since the bottom portion still feels contained but allowed her to safely have her arms free. The snaps are helpful when maneuvering it onto a sleeping baby and the fabric is the perfect balance of soft and breathable. Only downside is that it can't be used with the car seat or swing.
5.0	Nice texture and not too hot! Have washed at least 30x and have not shrunk nor lost their stretchability.
5.0	I am so happy with this purchase.  I originally bought the pink sparkle one, but had to return it because the box didn't include the screws.  After reading all the reviews, I finally decided to give this one a try.  The green mat helps keep my baby in place, so no sling is necessary.  In fact, I like it more than if it did have a sling with it.  I started using this tub when my daughter was 2 months old.  She's 4 months now, and I'm still loving that she can grow with it for another long while.  The little water toy is wonderful for rinsing the shampoo out of her hair.  I would definitely recommend this product.
1.0	Like another reviewer mentioned, this product may be a health hazard--the water reservoir for the steamer has a coating that flakes off and smells metallic after a few uses. This is DEFINITELY your run-of-the-mill mineral deposit or limescale. This is the coating of the reservoir that is coming off. Another reviewer has already posted a picture of the issue and I have just posted one as well. If you already own the Brezza, I would advise that you inspect your water reservoir closely. If you're considering purchasing one, I would steer clear.
1.0	I wish I would have never bought this product. It was very long, so I couldn't open the cabinets/drawers on either side of my stove. Because of this, I had to remove the stove guard any time I wasn't cooking. I could deal with this (I guess), but I had the product for about 5 days before my 12 month old daughter broke off the cheap plastic bracket that I was required to attach to the oven door. The next day she broke the other bracket leaving the stove guard without an anchor on the bottom. To add insult to injury, the foam adhesive that was on the back of the useless plastic bracket was really hard to remove from my oven door. I had to scrape, use Goo Gone and then a Mr. Clean Magic eraser to get the stupid thing off.
